areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2021-04-18,3834283,1495
E92000001,England,nation,2021-04-17,3832788,1897
E92000001,England,nation,2021-04-16,3830891,2225
E92000001,England,nation,2021-04-15,3828666,2171
E92000001,England,nation,2021-04-14,3826495,2054
E92000001,England,nation,2021-04-13,3824441,2070
E92000001,England,nation,2021-04-12,3822371,3222
E92000001,England,nation,2021-04-11,3819149,1338
E92000001,England,nation,2021-04-10,3817811,2032
E92000001,England,nation,2021-04-09,3815779,2638
E92000001,England,nation,2021-04-08,3821151,2486
E92000001,England,nation,2021-04-07,3818665,2304
E92000001,England,nation,2021-04-06,3816361,1937
E92000001,England,nation,2021-04-05,3814424,2236
E92000001,England,nation,2021-04-04,3812188,1954
E92000001,England,nation,2021-04-03,3810234,2847
E92000001,England,nation,2021-04-02,3807387,2881
E92000001,England,nation,2021-04-01,3804506,3784
E92000001,England,nation,2021-03-31,3800722,3327
E92000001,England,nation,2021-03-30,3797395,3384
E92000001,England,nation,2021-03-29,3794011,4112
E92000001,England,nation,2021-03-28,3789899,3153
E92000001,England,nation,2021-03-27,3786746,3813
E92000001,England,nation,2021-03-26,3783783,5273
E92000001,England,nation,2021-03-25,3778510,5286
E92000001,England,nation,2021-03-24,3773224,4615
E92000001,England,nation,2021-03-23,3768609,4583
E92000001,England,nation,2021-03-22,3764026,4746
E92000001,England,nation,2021-03-21,3759280,4459
E92000001,England,nation,2021-03-20,3754821,4732
E92000001,England,nation,2021-03-19,3750089,3809
E92000001,England,nation,2021-03-18,3746280,5213
E92000001,England,nation,2021-03-17,3741067,4827
E92000001,England,nation,2021-03-16,3736240,4391
E92000001,England,nation,2021-03-15,3731849,4264
E92000001,England,nation,2021-03-14,3727585,3774
E92000001,England,nation,2021-03-13,3723811,4539
E92000001,England,nation,2021-03-12,3719272,5529
E92000001,England,nation,2021-03-11,3713743,5744
E92000001,England,nation,2021-03-10,3707999,4863
E92000001,England,nation,2021-03-09,3703136,4894
E92000001,England,nation,2021-03-08,3698242,3903
E92000001,England,nation,2021-03-07,3694339,4497
E92000001,England,nation,2021-03-06,3689842,5118
E92000001,England,nation,2021-03-05,3684724,5053
E92000001,England,nation,2021-03-04,3679671,5643
E92000001,England,nation,2021-03-03,3674028,5408
E92000001,England,nation,2021-03-02,3668620,5530
E92000001,England,nation,2021-03-01,3663090,4738
E92000001,England,nation,2021-02-28,3658352,5080
E92000001,England,nation,2021-02-27,3653272,6527
E92000001,England,nation,2021-02-26,3646745,7393
E92000001,England,nation,2021-02-25,3639352,8623
E92000001,England,nation,2021-02-24,3630729,8644
E92000001,England,nation,2021-02-23,3622085,7292
E92000001,England,nation,2021-02-22,3614793,9420
E92000001,England,nation,2021-02-21,3605373,8408
E92000001,England,nation,2021-02-20,3596965,8964
E92000001,England,nation,2021-02-19,3588001,10296
E92000001,England,nation,2021-02-18,3577705,10740
E92000001,England,nation,2021-02-17,3566965,10926
E92000001,England,nation,2021-02-16,3556039,9236
E92000001,England,nation,2021-02-15,3546803,8609
E92000001,England,nation,2021-02-14,3538194,9499
E92000001,England,nation,2021-02-13,3528695,11697
E92000001,England,nation,2021-02-12,3516998,13299
E92000001,England,nation,2021-02-11,3503699,12001
E92000001,England,nation,2021-02-10,3491698,11551
E92000001,England,nation,2021-02-09,3480147,10916
E92000001,England,nation,2021-02-08,3469231,12270
E92000001,England,nation,2021-02-07,3456961,14466
E92000001,England,nation,2021-02-06,3442495,16302
E92000001,England,nation,2021-02-05,3426193,17314
E92000001,England,nation,2021-02-04,3408879,18529
E92000001,England,nation,2021-02-03,3390350,17265
E92000001,England,nation,2021-02-02,3373085,15021
E92000001,England,nation,2021-02-01,3358064,16815
E92000001,England,nation,2021-01-31,3341249,19054
E92000001,England,nation,2021-01-30,3322195,21089
E92000001,England,nation,2021-01-29,3301106,26709
E92000001,England,nation,2021-01-28,3274397,26182
E92000001,England,nation,2021-01-27,3248215,22914
E92000001,England,nation,2021-01-26,3225301,17920
E92000001,England,nation,2021-01-25,3207381,20149
E92000001,England,nation,2021-01-24,3187232,27580
E92000001,England,nation,2021-01-23,3159652,30496
E92000001,England,nation,2021-01-22,3129156,37115
E92000001,England,nation,2021-01-21,3092041,34371
E92000001,England,nation,2021-01-20,3057670,35061
E92000001,England,nation,2021-01-19,3022609,30371
E92000001,England,nation,2021-01-18,2992238,34134
E92000001,England,nation,2021-01-17,2958104,35263
E92000001,England,nation,2021-01-16,2922841,37759
E92000001,England,nation,2021-01-15,2885082,50741
E92000001,England,nation,2021-01-14,2834341,44358
E92000001,England,nation,2021-01-13,2789983,42898
E92000001,England,nation,2021-01-12,2747085,41121
E92000001,England,nation,2021-01-11,2705964,41835
E92000001,England,nation,2021-01-10,2664129,50291
E92000001,England,nation,2021-01-09,2613838,54257
E92000001,England,nation,2021-01-08,2559581,61757
E92000001,England,nation,2021-01-07,2497824,46841
E92000001,England,nation,2021-01-06,2450983,56060
E92000001,England,nation,2021-01-05,2394923,54940
E92000001,England,nation,2021-01-04,2339983,53180
E92000001,England,nation,2021-01-03,2286803,46853
E92000001,England,nation,2021-01-02,2239950,49248
E92000001,England,nation,2021-01-01,2190702,50746
E92000001,England,nation,2020-12-31,2139956,49510
E92000001,England,nation,2020-12-30,2090446,43554
E92000001,England,nation,2020-12-29,2046892,47164
E92000001,England,nation,2020-12-28,1999728,36511
E92000001,England,nation,2020-12-27,1963217,25619
E92000001,England,nation,2020-12-26,1937598,31307
E92000001,England,nation,2020-12-25,1906291,31560
E92000001,England,nation,2020-12-24,1874731,35561
